exchange_symbol,instrument_name,type,underlying_name,exchange_id,exchange_alias,parent_calendar_id,child_calendar_id,underlying_asset_class_id,underlying_country_id,quote_currency_id,settle_start,settle_end,settle_method,settle_timezone
VOT,Vanguard Mid-Cap Growth,ETF,,XNYS,NYSE,XNYS,,5,US,USD,16:00,16:02,auction,exch
XLU,Utilities Select Sector SPDR Fund,ETF,,XNYS,NYSE,XNYS,,5,US,USD,16:00,16:02,auction,exch
XLI,Industrial Select Sector SPDR Fund,ETF,,XNYS,NYSE,XNYS,,5,US,USD,16:00,16:02,auction,exch
IEF,iShares 7-10 Year Treasury Bond,ETF,,XNAS,NASDAQ,XNAS,,1,US,USD,16:00,16:02,auction,exch
AGNC,AGNC Investment Corp.,REIT,,XNAS,NASDAQ,XNAS,,6,US,USD,16:00,16:02,auction,exch
TIP,iShares TIPS Bond ETF,ETF,,XNYS,NYSE,XNYS,,1,US,USD,16:00,16:02,auction,exch
USO,United States Oil Fund,ETF,,XNYS,NYSE,XNYS,,4,US,USD,16:00,16:02,auction,exch
GLD,SPDR Gold Trust,ETF,,XNYS,NYSE,XNYS,,5,US,USD,16:00,16:02,auction,exch
ICSH,iShares Ultra Short-Term Bond,ETF,,BATS,BATS,BATS,,2,US,USD,16:00,16:02,auction,exch
VGSH,Vanguard Short-Term Treasury,ETF,,XNAS,NASDAQ,XNAS,,1,US,USD,16:00,16:02,auction,exch
